Sygnatura czasowa,Ile masz lat?,Podaj swoją płeć,Ile godzin tygodniowo spędzasz grając w gry komputerowe?,Jakie gatunki gier preferujesz?,Jaką emocję odczuwasz najczęściej podczas rozgrywki?,Jak silnie odczuwasz tę emocję w trakcie rozgrywki?,Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Poziom trudności rozgrywki],"Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Efekty wizualne (grafika, animacje)]",Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Muzyka i efekty dźwiękowe],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Szybkość i dynamika rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Płynność rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Cel i fabuła gry],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Długość rozgrywki],"Czy są jakieś inne czynniki, o których chcesz napisać?",Jaką inną emocję odczuwasz najczęściej podczas rozgrywki? ,Jak silnie odczuwasz tę emocję w trakcie rozgrywki?,Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Poziom trudności rozgrywki],"Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Efekty wizualne (grafika, animacje)]",Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Muzyka i efekty dźwiękowe],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Szybkość i dynamika rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Płynność rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Cel i fabuła gry],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Długość rozgrywki],"Czy są jakieś inne czynniki, o których chcesz napisać?",Jaką (inną niż pozostałe) emocję odczuwasz najczęściej podczas rozgrywki?,Jak silnie odczuwasz tę emocję w trakcie rozgrywki?,Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Poziom trudności rozgrywki],"Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Efekty wizualne (grafika, animacje)]",Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Muzyka i efekty dźwiękowe],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Szybkość i dynamika rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Płynność rozgrywki],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Cel i fabuła gry],Jak podane niżej czynniki wpływają na wywołanie u Ciebie wybranej emocji podczas rozgrywki? [Długość rozgrywki],"Czy są jakieś inne czynniki, o których chcesz napisać?"
2024-10-20 19:06:53,17,Mężczyzna,Od 7h do 12h,"RPG (Role Playing Game), Gry akcji, MOBA (Multiplayer Battle Online Arena)",Radość,4,3,2,2,2,2,3,2,,,5,4,2,2,3,2,3,3,,Zaskoczenie,3,3,2,2,2,3,3,3,
2024-10-20 19:10:50,17,Kobieta,Od 3h do 6h,"Gry akcji, RPG (Role Playing Game), Typu film",Smutek,5,1,4,4,2,4,4,2,,Strach,3,3,4,4,4,4,4,1,,Radość,5,1,4,4,1,3,4,2,
2024-10-20 19:15:54,18,Mężczyzna,Więcej niż 12h,Wszystkie podane,Radość,4,5,2,4,5,5,5,3,,Smutek,2,5,5,3,5,5,5,5,,Złość,3,5,1,1,5,5,1,5,
2024-10-20 19:16:07,17,Mężczyzna,Mniej niż 3h,"Strategiczne, Gry akcji, FPS (First Person Shooter)",Radość,2,3,3,3,4,4,4,2,..,Złość,4,3,3,1,4,4,4,2,..,Nie odczuwam więcej emocji,1,1,1,3,3,1,2,1,Nie udczuwam innych emocji
2024-10-20 19:18:45,17,Mężczyzna,Od 7h do 12h,"RPG (Role Playing Game), Gry akcji, FPS (First Person Shooter)",Radość,3,4,3,1,3,3,3,2,,Radość,3,4,3,1,4,4,4,3,Nie,Radość,3,4,4,1,3,3,3,3,
2024-10-20 19:20:10,17,Mężczyzna,Mniej niż 3h,"MOBA (Multiplayer Battle Online Arena), Gry akcji, FPS (First Person Shooter)",Zaskoczenie,1,3,3,1,3,3,4,2,,Radość,3,3,3,3,3,3,3,3,,Nie odczuwam więcej emocji,3,1,1,1,1,1,1,1,
2024-10-20 19:21:14,17,Kobieta,Więcej niż 12h,"MOBA (Multiplayer Battle Online Arena), Strategiczne, Gry akcji",Złość,5,4,4,5,4,5,5,5,Inni gracze ,Radość,5,5,5,5,5,5,5,5,,Smutek,2,1,1,1,1,1,1,1,Przegrana 
2024-10-20 19:49:39,17,Mężczyzna,Mniej niż 3h,"MOBA (Multiplayer Battle Online Arena), Gry akcji",Radość,3,3,3,3,3,3,3,2,,Złość,2,3,3,3,3,3,3,3,,Wstręt,2,3,3,3,3,3,3,3,
2024-10-20 23:53:29,17,Mężczyzna,Więcej niż 12h,"RPG (Role Playing Game), FPS (First Person Shooter), Strategiczne",Złość,3,4,1,1,3,1,2,4,,Radość,4,1,4,1,4,4,4,1,,Zaskoczenie,5,4,4,1,4,4,4,4,
2024-10-21 16:09:02,27,Kobieta,Mniej niż 3h,"Karciane, Strategiczne, Przygodowe, edukacyjne",Radość,4,4,5,4,3,4,5,5,,Złość,4,5,2,1,4,3,1,4,,Zaskoczenie,3,4,3,2,4,3,4,3,
2024-10-21 18:02:42,17,Inne / Nie chcę podawać,Więcej niż 12h,"RPG (Role Playing Game), FPS (First Person Shooter), Gry akcji",Radość,4,5,5,5,4,5,5,5,,Złość,3,3,1,3,4,4,2,1,,Smutek,2,1,1,3,1,1,5,4,
2024-10-22 07:10:02,7,Mężczyzna,Od 3h do 6h,Karciane,Złość,5,1,1,1,1,1,5,1,"Przegrywanie pieniędzy 5
",Nie odczuwam więcej emocji,1,1,1,1,1,1,5,1,Potrzeba pieniędzy 5,,,,,,,,,,
2024-10-24 23:02:32,22,Kobieta,Mniej niż 3h,"Strategiczne, RPG (Role Playing Game)",Radość,2,2,4,4,3,3,2,3,,Złość,2,4,3,2,2,2,3,3,,Nie odczuwam więcej emocji,1,1,1,1,1,1,1,1,
2024-11-04 12:00:11,23,Mężczyzna,Mniej niż 3h,"RPG (Role Playing Game), Strategiczne",Radość,1,4,1,1,1,5,4,1,,Nie odczuwam więcej emocji,1,1,1,1,1,1,1,1,,,,,,,,,,,
2024-11-04 12:01:39,21,Mężczyzna,Więcej niż 12h,"RPG (Role Playing Game), Gry akcji, Strategiczne",Radość,4,1,5,4,5,5,5,4,,Złość,2,5,1,1,2,4,1,4,,Nie odczuwam więcej emocji,5,1,1,1,1,1,1,1,
2024-11-04 12:03:29,22,Kobieta,Mniej niż 3h,"Strategiczne, Gry akcji",Zaskoczenie,3,5,5,3,5,3,4,3,,Radość,4,5,5,5,4,4,4,4,,Smutek,4,4,4,4,3,4,5,5,
2024-11-04 12:12:52,22,Mężczyzna,Od 7h do 12h,"Strategiczne, Gry akcji, FPS (First Person Shooter)",Radość,3,5,4,5,5,4,4,3,,Zaskoczenie,2,4,3,4,3,3,3,3,,Złość,3,5,1,1,3,5,3,4,
2024-11-04 12:25:31,23,Mężczyzna,Więcej niż 12h,"MOBA (Multiplayer Battle Online Arena), Gry akcji, FPS (First Person Shooter)",Radość,3,3,3,3,5,5,5,2,,Złość,3,3,2,1,4,5,1,2,,Nie odczuwam więcej emocji,3,3,3,3,3,3,3,3,
2024-11-04 12:38:42,21,Mężczyzna,Mniej niż 3h,Strategiczne,Radość,4,4,5,1,3,4,5,1,,Złość,2,5,1,2,5,5,4,5,,Nie odczuwam więcej emocji,1,1,1,1,1,1,1,1,
2024-11-04 13:07:05,23,Mężczyzna,Mniej niż 3h,"MOBA (Multiplayer Battle Online Arena), Karciane",Radość,4,5,2,3,5,5,4,3,,Nie odczuwam więcej emocji,1,1,1,1,1,1,1,1,,,,,,,,,,,
2024-11-04 13:16:50,23,Mężczyzna,Mniej niż 3h,"Gry akcji, MOBA (Multiplayer Battle Online Arena), FPS (First Person Shooter)",Złość,4,4,3,3,4,4,3,4,,Radość,4,5,2,3,4,4,4,4,,Nie odczuwam więcej emocji,4,4,3,3,4,4,4,4,
2024-11-04 13:20:29,22,Mężczyzna,Mniej niż 3h,"FPS (First Person Shooter), samochodowe, open world typu GTA",Złość,3,4,1,2,4,3,1,3,,Radość,4,4,4,4,3,4,3,4,,Zaskoczenie,2,3,2,4,4,3,4,3,
