Płeć      ,Wiek ,Ile czasu w tygodniu spędzasz grając w gry komputerowe? ,"Wybierz, które określenia najbardziej odpowiadają twoim ulubiony gatunkom gier:" ,"Gra 1 - Radość" ,"Gra 1 - Złość" ,"Gra 1 - Smutek" ,"Gra 1 - Obrzydenie" ,"Gra 1 - Zaskoczenie" ,"Gra 1 - Strach" ,"Gra 1 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 1 (GEQ) - Czułem/łam się źle" ,"Gra 1 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 1 (GEQ) - Czułem/łam się winny" ,"Gra 1 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 1 (GEQ) - Uważam, że to strata czasu" ,"Gra 1 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 1 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 1 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 1 (GEQ) - Czułem/łam się potężny" ,"Gra 1 (GEQ) - Czułem/łam się zmęczony" ,"Gra 1 (GEQ) - Poczułem/łam żal" ,"Gra 1 (GEQ) - Było mi wstyd" ,"Gra 1 (GEQ) - Czułem/łam się dumny" ,"Gra 1 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży" ,"Gra 2 - Radość" ,"Gra 2 - Złość" ,"Gra 2 - Smutek" ,"Gra 2 - Obrzydenie" ,"Gra 2 - Zaskoczenie" ,"Gra 2 - Strach" ,"Gra 2 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 2 (GEQ) - Czułem/łam się źle" ,"Gra 2 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 2 (GEQ) - Czułem/łam się winny" ,"Gra 2 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 2 (GEQ) - Uważam, że to strata czasu" ,"Gra 2 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 2 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 2 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 2 (GEQ) - Czułem/łam się potężny" ,"Gra 2 (GEQ) - Czułem/łam się zmęczony" ,"Gra 2 (GEQ) - Poczułem/łam żal" ,"Gra 2 (GEQ) - Było mi wstyd" ,"Gra 2 (GEQ) - Czułem/łam się dumny" ,"Gra 2 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży"
Mężczyzna ,  22 ,Raczej nie gram w gry komputerowe                       ,RPG                                                                               ,               2 ,              2 ,               2 ,                   2 ,                    2 ,               2 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               1 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"Akcja,Przygoda,Platformowa,Symulacja,Puzzle"                                     ,               6 ,              3 ,               1 ,                   1 ,                    5 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Ekstremalnie                             ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Mocno                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Ekstremalnie                         ,Lekko                                                      ,               3 ,              6 ,               1 ,                   1 ,                    5 ,               1 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Mocno                         ,Wcale                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,FPS,MMO,Puzzle"                                                              ,               5 ,              3 ,               2 ,                   1 ,                    4 ,               3 ,Średnio                                     ,Średnio                            ,Średnio                                                 ,Wcale                                ,Lekko                                    ,Lekko                                      ,Mocno                                      ,Średnio                                              ,Lekko                                            ,Średnio                                ,Średnio                                 ,Lekko                            ,Lekko                         ,Lekko                                ,Średnio                                                    ,               4 ,              4 ,               1 ,                   1 ,                    2 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Średnio                                          ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  21 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,FPS"                                                                         ,               7 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Ekstremalnie                             ,Wcale                                      ,Średnio                                    ,Ekstremalnie                                         ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale                                                      ,               7 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Mocno                                      ,Mocno                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Kobieta   ,  26 ,Raczej nie gram w gry komputerowe                       ,"Przygoda,Edukacyjne"                                                             ,               2 ,              2 ,               2 ,                   1 ,                    1 ,               3 ,Średnio                                     ,Lekko                              ,Lekko                                                   ,Mocno                                ,Ekstremalnie                             ,Ekstremalnie                               ,Wcale                                      ,Wcale                                                ,Lekko                                            ,Lekko                                  ,Średnio                                 ,Wcale                            ,Wcale                         ,Wcale                                ,Lekko                                                      ,               5 ,              5 ,               3 ,                   2 ,                    3 ,               2 ,Lekko                                       ,Lekko                              ,Średnio                                                 ,Średnio                              ,Lekko                                    ,Lekko                                      ,Ekstremalnie                               ,Mocno                                                ,Średnio                                          ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Ekstremalnie
Kobieta   ,  26 ,Mniej niż 2 godziny w tygodniu                          ,"Akcja,Przygoda,Quiz"                                                             ,               4 ,              6 ,               1 ,                   1 ,                    2 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale                                                      ,               3 ,              5 ,               1 ,                   1 ,                    5 ,               1 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Mężczyzna ,  26 ,Raczej nie gram w gry komputerowe                       ,"FPS,Akcja,Przygoda"                                                              ,               3 ,              1 ,               1 ,                   1 ,                    1 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Średnio                              ,Średnio                                  ,Wcale                                      ,Wcale                                      ,Lekko                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               5 ,              1 ,               2 ,                   1 ,                    1 ,               1 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Średnio                                    ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Kobieta   ,  27 ,2 - 8 godzin w tygodniu                                 ,"Akcja,Przygoda,Platformowa,Symulacja,Quiz,Edukacyjne"                            ,               5 ,              2 ,               1 ,                   1 ,                    3 ,               3 ,Mocno                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Mocno                                      ,Mocno                                                ,Wcale                                            ,Mocno                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               3 ,              3 ,               1 ,                   1 ,                    4 ,               1 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Mocno                                      ,Średnio                                              ,Lekko                                            ,Średnio                                ,Wcale                                   ,Lekko                            ,Lekko                         ,Lekko                                ,Wcale
Mężczyzna ,  22 ,Raczej nie gram w gry komputerowe                       ,RPG                                                                               ,               4 ,              2 ,               1 ,                   1 ,                    4 ,               2 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Średnio                                    ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Lekko                                                      ,               2 ,              4 ,               1 ,                   1 ,                    3 ,               1 ,Wcale                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Lekko                                      ,Lekko                                      ,Mocno                                                ,Mocno                                            ,Wcale                                  ,Średnio                                 ,Wcale                            ,Lekko                         ,Mocno                                ,Wcale
Mężczyzna ,  21 ,Raczej nie gram w gry komputerowe                       ,Quiz                                                                              ,               5 ,              2 ,               1 ,                   1 ,                    3 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Średnio                                    ,Wcale                                      ,Ekstremalnie                                         ,Wcale                                            ,Mocno                                  ,Średnio                                 ,Wcale                            ,Wcale                         ,Średnio                              ,Średnio                                                    ,               4 ,              2 ,               1 ,                   2 ,                    5 ,               1 ,Lekko                                       ,Mocno                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Wcale                                                ,Mocno                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
